file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testMergeValuesDelete/0,false,126,2,0,0,0,1,5,4,0,1,0,5,0,0,0,0,0,0,6,0,1,0,0,0,0,0,18,0,0,true
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,setUp/0,false,49,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testLoadPropertiesNoFile/0,false,187,1,0,0,0,1,3,7,0,2,0,3,0,0,0,0,0,0,2,0,3,0,0,0,0,0,10,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testMergeValues/0,false,83,2,0,0,0,1,5,4,0,1,0,5,0,0,0,0,0,0,9,0,1,0,0,0,0,0,8,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testReplaceProperty/0,false,136,1,0,0,0,1,4,6,0,1,0,4,0,0,0,0,0,0,6,0,2,0,0,0,0,0,9,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testMergeValuesAddDefault/0,false,93,2,0,0,0,1,5,4,0,1,0,5,0,0,0,0,0,0,9,0,1,0,0,0,0,0,10,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testLoadProperties/0,false,217,1,0,0,0,1,5,4,0,1,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,7,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testGetPid/0,false,290,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testLoadPropertiesOneFile/0,false,223,1,0,0,0,1,4,8,0,2,0,4,0,0,0,0,0,0,7,0,2,0,0,0,0,0,10,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testIsEmpty/0,false,62,1,0,0,0,1,3,11,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testIsDefault/0,false,75,1,0,0,0,1,3,6,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testGetProperties2/0,false,180,1,0,0,0,1,6,5,0,1,0,6,0,0,0,0,0,0,2,0,1,0,0,0,0,0,8,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testLoadPropertiesOneFileAllowMulti/0,false,235,1,0,0,0,1,4,8,0,2,0,4,0,0,0,0,0,0,7,0,2,0,0,0,0,0,12,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testIsNotEmpty/0,false,57,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,testGetSystemProperty/0,false,207,1,0,0,0,1,5,9,0,0,0,5,0,0,0,0,1,0,5,0,0,0,1,0,0,0,7,0,0,false
C:\MetricsTest\Dubbo\dubbo-config\dubbo-config-spring\src\main\java\org\apache\dubbo\config\spring\context\annotation\DubboConfigConfigurationRegistrar.java,org.apache.dubbo.config.spring.context.annotation.DubboConfigConfigurationRegistrar,"registerBeanDefinitions/2[org.apache.dubbo.config.spring.context.annotation.AnnotationMetadata,org.apache.dubbo.config.spring.context.annotation.BeanDefinitionRegistry]",false,38,3,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\MetricsTest\Dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\support\wrapper\AbstractClusterTest.java,org.apache.dubbo.rpc.cluster.support.wrapper.AbstractClusterTest$DemoCluster,doJoin/1[org.apache.dubbo.rpc.cluster.Directory<T>],false,75,4,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
C:\MetricsTest\Dubbo\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\support\wrapper\AbstractClusterTest.java,org.apache.dubbo.rpc.cluster.support.wrapper.AbstractClusterTest$DemoCluster,"join/2[org.apache.dubbo.rpc.cluster.Directory<T>,boolean]",false,70,3,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\main\java\org\apache\dubbo\common\extension\ExtensionAccessor.java,org.apache.dubbo.common.extension.ExtensionAccessor,getDefaultExtension/1[java.lang.Class<T>],false,40,3,2,0,2,2,2,4,1,1,1,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,8,65536,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\main\java\org\apache\dubbo\common\extension\ExtensionAccessor.java,org.apache.dubbo.common.extension.ExtensionAccessor,getExtensionDirector/0,false,24,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\main\java\org\apache\dubbo\common\extension\ExtensionAccessor.java,org.apache.dubbo.common.extension.ExtensionAccessor,getAdaptiveExtension/1[java.lang.Class<T>],false,35,3,2,0,2,2,2,4,1,1,1,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,8,65536,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\main\java\org\apache\dubbo\common\extension\ExtensionAccessor.java,org.apache.dubbo.common.extension.ExtensionAccessor,"getExtension/2[java.lang.Class<T>,java.lang.String]",false,30,3,2,0,2,2,2,4,1,1,2,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,8,65536,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\main\java\org\apache\dubbo\common\extension\ExtensionAccessor.java,org.apache.dubbo.common.extension.ExtensionAccessor,getExtensionLoader/1[java.lang.Class<T>],false,26,4,6,4,2,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,65536,0,false
C:\MetricsTest\Dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\integration\multiple\servicediscoveryregistry\ServiceDiscoveryRegistryInfoWrapper.java,org.apache.dubbo.config.integration.multiple.servicediscoveryregistry.ServiceDiscoveryRegistryInfoWrapper,getServiceDiscoveryRegistry/0,false,34,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\MetricsTest\Dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\integration\multiple\servicediscoveryregistry\ServiceDiscoveryRegistryInfoWrapper.java,org.apache.dubbo.config.integration.multiple.servicediscoveryregistry.ServiceDiscoveryRegistryInfoWrapper,setPort/1[int],false,70,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\MetricsTest\Dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\integration\multiple\servicediscoveryregistry\ServiceDiscoveryRegistryInfoWrapper.java,org.apache.dubbo.config.integration.multiple.servicediscoveryregistry.ServiceDiscoveryRegistryInfoWrapper,getHost/0,false,58,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
